CRASH DATE,LATITUDE,LONGITUDE,new-string
09/11/2021,40.658466,-73.96049,09.6584.9604
09/11/2021,40.868164,-73.90054,09.8681.9005
09/11/2021,40.66169,-73.96143,09.6616.9614
07/09/2021,40.87037,-73.87052,07.8703.8705
09/05/2021,40.69674,-73.76292,09.6967.7629
09/11/2021,40.65958,-73.89247,09.6595.8924
09/11/2021,40.83232,-73.87395,09.8323.8739
09/11/2021,40.708534,-73.914925,09.7085.9149
07/08/2021,40.777496,-73.90784,07.7774.9078
07/02/2021,40.83406,-73.944885,07.8340.9448
09/11/2021,40.66615,-73.80575,09.6661.8057
07/08/2021,40.82324,-73.938835,07.8232.9388
07/09/2021,40.6974,-73.80952,07.6974.8095
07/09/2021,40.67897,-73.75985,07.6789.7598
09/11/2021,40.590313,-74.09794,09.5903.0979
07/09/2021,40.654343,-73.864204,07.6543.8642
09/11/2021,40.62782,-74.12126,09.6278.1212
09/10/2021,40.592037,-74.15436,09.5920.1543
09/08/2021,40.79293,-73.950005,09.7929.9500
09/11/2021,40.8452,-73.916885,09.8452.9168
09/11/2021,40.72609,-73.830154,09.7260.8301
09/11/2021,40.76092,-73.96704,09.7609.9670
05/21/2019,40.69754,-73.98312,05.6975.9831
02/26/2021,40.843464,-73.836,02.8434
03/09/2021,40.692547,-73.990974,03.6925.9909
03/31/2021,40.626457,-73.918,03.6264
04/06/2021,40.526894,-74.16728,04.5268.1672
04/09/2021,40.840775,-73.87246,04.8407.8724
04/14/2021,40.694035,-73.72679,04.6940.7267
04/15/2021,40.857365,-73.84657,04.8573.8465
04/14/2021,40.698807,-73.91837,04.6988.9183
04/14/2021,40.71402,-73.74827,04.7140.7482
04/16/2021,40.815,-73.89402,04.8940
04/16/2021,40.55079,-74.20098,04.5507.2009
04/15/2021,40.655903,-73.89817,04.6559.8981
04/16/2021,40.890076,-73.819855,04.8900.8198
04/15/2021,40.650402,-73.89422,04.6504.8942
04/16/2021,40.79335,-73.97275,04.7933.9727
04/16/2021,40.72538,-74.00011,04.7253.0001
04/15/2021,40.75184,-73.90358,04.7518.9035
09/11/2021,40.755516,-73.961105,09.7555.9611
04/16/2021,40.649788,-73.9622,04.6497.9622
04/16/2021,40.686928,-73.920815,04.6869.9208
04/14/2021,40.712963,-73.93647,04.7129.9364
06/30/2021,40.694294,-73.74868,06.6942.7486
04/14/2021,40.801285,-73.95394,04.8012.9539
04/14/2021,40.633976,-74.02211,04.6339.0221
04/15/2021,40.670296,-73.997604,04.6702.9976
04/16/2021,40.66423,-73.919106,04.6642.9191
04/14/2021,40.817696,-73.922615,04.8176.9226
04/13/2021,40.668495,-73.925606,04.6684.9256
04/13/2021,40.662476,-73.768326,04.6624.7683
04/15/2021,40.841087,-73.86447,04.8410.8644
04/15/2021,40.70955,-73.95887,04.7095.9588
04/15/2021,40.733376,-73.86665,04.7333.8666
04/14/2021,40.700356,-73.95732,04.7003.9573
04/14/2021,40.83801,-73.87329,04.8380.8732
04/16/2021,40.66584,-73.75551,04.6658.7555
04/15/2021,40.761436,-73.76995,04.7614.7699
04/16/2021,40.74958,-73.86541,04.7495.8654
04/16/2021,40.73197,-73.78651,04.7319.7865
04/16/2021,40.76249,-73.839584,04.7624.8395
04/16/2021,40.668507,-73.779625,04.6685.7796
04/15/2021,40.638268,-73.93187,04.6382.9318
04/12/2021,40.696735,-73.93481,04.6967.9348
04/14/2021,40.870823,-73.8721,04.8708.8721
04/14/2021,40.574867,-74.00069,04.5748.0006
04/14/2021,40.866577,-73.8722,04.8665.8722
04/16/2021,40.775414,-73.91984,04.7754.9198
04/15/2021,40.84744,-73.89968,04.8474.8996
04/14/2021,40.542908,-74.15579,04.5429.1557
04/14/2021,40.78468,-73.80911,04.7846.8091
04/15/2021,40.632416,-73.94724,04.6324.9472
04/15/2021,40.714207,-73.92817,04.7142.9281
04/16/2021,40.727913,-73.873245,04.7279.8732
04/15/2021,40.854485,-73.854645,04.8544.8546
04/13/2021,40.698986,-73.91671,04.6989.9167
04/16/2021,40.841717,-73.94435,04.8417.9443
04/15/2021,40.861687,-73.82435,04.8616.8243
04/16/2021,40.691822,-73.92223,04.6918.9222
04/10/2021,40.856014,-73.91213,04.8560.9121
04/14/2021,40.83383,-73.921234,04.8338.9212
04/09/2021,40.68781,-73.9237,04.6878.9237
04/14/2021,40.642044,-73.98124,04.6420.9812
04/16/2021,40.69814,-73.89111,04.6981.8911
04/14/2021,40.64664,-73.9246,04.6466.9246
09/11/2021,40.703217,-73.73427,09.7032.7342
04/16/2021,40.680897,-73.95118,04.6808.9511
04/15/2021,40.760822,-73.99832,04.7608.9983
04/14/2021,40.74608,-73.974945,04.7460.9749
04/16/2021,40.626293,-74.01572,04.6262.0157
04/15/2021,40.767967,-73.96822,04.7679.9682
04/15/2021,40.673634,-73.89294,04.6736.8929
04/15/2021,40.579212,-73.976265,04.5792.9762
04/16/2021,40.57365,-74.11252,04.5736.1125
04/14/2021,40.73632,-73.85631,04.7363.8563
04/14/2021,40.619396,-73.969574,04.6193.9695
04/16/2021,40.820263,-73.92976,04.8202.9297
04/14/2021,40.601864,-74.00232,04.6018.0023
04/15/2021,40.810318,-73.943634,04.8103.9436
04/14/2021,40.666306,-73.79171,04.6663.7917
04/16/2021,40.708805,-73.92577,04.7088.9257
04/14/2021,40.826424,-73.85868,04.8264.8586
04/13/2021,40.63174,-73.96793,04.6317.9679
04/15/2021,0.0,0.0,04
04/16/2021,40.727146,-73.954735,04.7271.9547
04/11/2021,40.67253,-73.798386,04.6725.7983
04/16/2021,40.702335,-73.89073,04.7023.8907
04/14/2021,40.587894,-73.95504,04.5878.9550
04/16/2021,40.65047,-73.917366,04.6504.9173
04/16/2021,40.836555,-73.94306,04.8365.9430
04/13/2021,40.870056,-73.83222,04.8700.8322
04/15/2021,40.579372,-74.16948,04.5793.1694
04/01/2021,40.805138,-73.945244,04.8051.9452
04/15/2021,40.85968,-73.90427,04.8596.9042
04/15/2021,40.605595,-73.98404,04.6055.9840
04/15/2021,40.819214,-73.84662,04.8192.8466
04/16/2021,40.827972,-73.88707,04.8279.8870
04/16/2021,40.66496,-73.82226,04.6649.8222
04/14/2021,40.719177,-73.79223,04.7191.7922
04/14/2021,40.748825,-73.96984,04.7488.9698
04/16/2021,40.733597,-73.91062,04.7335.9106
04/14/2021,40.54048,-74.153404,04.5404.1534
04/14/2021,40.738403,-73.93864,04.7384.9386
04/15/2021,40.68039,-73.94956,04.6803.9495
04/14/2021,40.817627,-73.92366,04.8176.9236
04/15/2021,40.751446,-74.001434,04.7514.0014
